spp_gp,kingdom,phylum,class,order,species,subpops
bli_marine_v2018,Animalia,Chordata,Aves,Anseriformes,7,NA
bli_marine_v2018,Animalia,Chordata,Aves,Charadriiformes,27,NA
bli_marine_v2018,Animalia,Chordata,Aves,Gaviiformes,1,NA
bli_marine_v2018,Animalia,Chordata,Aves,Pelecaniformes,1,NA
bli_marine_v2018,Animalia,Chordata,Aves,Podicipediformes,1,NA
bli_marine_v2018,Animalia,Chordata,Aves,Procellariiformes,86,NA
bli_marine_v2018,Animalia,Chordata,Aves,Sphenisciformes,13,NA
bli_marine_v2018,Animalia,Chordata,Aves,Suliformes,18,NA
clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,14,NA
conus,Animalia,Mollusca,Gastropoda,NA,67,NA
lobsters,Animalia,Arthropoda,Malacostraca,NA,1,NA
mammals,Animalia,Chordata,Mammalia,Carnivora,20,1
mammals,Animalia,Chordata,Mammalia,Cetartiodactyla,33,13
mammals,Animalia,Chordata,Mammalia,Sirenia,4,1
mangroves,Plantae,Tracheophyta,Liliopsida,NA,1,NA
mangroves,Plantae,Tracheophyta,Magnoliopsida,NA,16,NA
marinefish,Animalia,Chordata,Actinopterygii,Perciformes,157,NA
marinefish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,12,NA
marinefish,Animalia,Chordata,Myxini,NA,11,NA
reef_forming_corals,Animalia,Cnidaria,Anthozoa,NA,401,NA
reef_forming_corals,Animalia,Cnidaria,Hydrozoa,NA,6,NA
reptiles,Animalia,Chordata,Reptilia,Crocodylia,1,NA
reptiles,Animalia,Chordata,Reptilia,Squamata,8,NA
reptiles,Animalia,Chordata,Reptilia,Testudines,6,12
seagrasses,Plantae,Tracheophyta,Liliopsida,NA,15,NA
sharks_rays_chimaeras,Animalia,Chordata,Chondrichthyes,NA,312,9
syngathiform_fishes,Animalia,Chordata,Actinopterygii,Syngnathiformes,15,NA
