iucn_sid,sciname,assess_gp
133411,Acanthastrea bowerbanki,reef_building_corals
133557,Acanthastrea brevis,reef_building_corals
133246,Acanthastrea echinata,reef_building_corals
133624,Acanthastrea faviaformis,reef_building_corals
133642,Acanthastrea hemprichii,reef_building_corals
133106,Acanthastrea hillae,reef_building_corals
133376,Acanthastrea ishigakiensis,reef_building_corals
133366,Acanthastrea lordhowensis,reef_building_corals
133490,Acanthastrea maxima,reef_building_corals
133326,Acanthastrea regularis,reef_building_corals
133386,Acanthastrea rotundoflora,reef_building_corals
132929,Acanthastrea subechinata,reef_building_corals
133133,Acropora abrolhosensis,reef_building_corals
133649,Acropora abrotanoides,reef_building_corals
133463,Acropora aculeus,reef_building_corals
132940,Acropora acuminata,reef_building_corals
133655,Acropora akajimensis,reef_building_corals
133513,Acropora anthocercis,reef_building_corals
133195,Acropora appressa,reef_building_corals
133604,Acropora arabensis,reef_building_corals
133132,Acropora aspera,reef_building_corals
133160,Acropora austera,reef_building_corals
133583,Acropora awi,reef_building_corals
133283,Acropora batunai,reef_building_corals
133658,Acropora bifurcata,reef_building_corals
133334,Acropora branchi,reef_building_corals
133471,Acropora bushyensis,reef_building_corals
133264,Acropora cardenae,reef_building_corals
132933,Acropora carduus,reef_building_corals
133112,Acropora caroliniana,reef_building_corals
133576,Acropora cerealis,reef_building_corals
133381,Acropora cervicornis,reef_building_corals
133481,Acropora chesterfieldensis,reef_building_corals
133207,Acropora clathrata,reef_building_corals
133379,Acropora convexa,reef_building_corals
132862,Acropora cophodactyla,reef_building_corals
133678,Acropora copiosa,reef_building_corals
133313,Acropora cytherea,reef_building_corals
133322,Acropora dendrum,reef_building_corals
132984,Acropora derawanensis,reef_building_corals
133396,Acropora desalwii,reef_building_corals
133250,Acropora digitifera,reef_building_corals
132910,Acropora divaricata,reef_building_corals
133223,Acropora donei,reef_building_corals
133469,Acropora downingi,reef_building_corals
133661,Acropora echinata,reef_building_corals
133672,Acropora efflorescens,reef_building_corals
133688,Acropora elegans,reef_building_corals
133104,Acropora elegantula,reef_building_corals
133010,Acropora elseyi,reef_building_corals
133592,Acropora exquisita,reef_building_corals
133312,Acropora fastigata,reef_building_corals
133125,Acropora fenneri,reef_building_corals
133699,Acropora filiformis,reef_building_corals
132869,Acropora florida,reef_building_corals
133644,Acropora formosa,reef_building_corals
133204,Acropora forskali,reef_building_corals
133324,Acropora gemmifera,reef_building_corals
133550,Acropora glauca,reef_building_corals
133387,Acropora globiceps,reef_building_corals
133352,Acropora gomezi,reef_building_corals
133013,Acropora grandis,reef_building_corals
132948,Acropora granulosa,reef_building_corals
133449,Acropora haimei,reef_building_corals
133311,Acropora halmaherae,reef_building_corals
132981,Acropora hemprichii,reef_building_corals
133401,Acropora hoeksemai,reef_building_corals
133319,Acropora horrida,reef_building_corals
132992,Acropora humilis,reef_building_corals
133479,Acropora hyacinthus,reef_building_corals
133600,Acropora indonesia,reef_building_corals
133273,Acropora inermis,reef_building_corals
133035,Acropora insignis,reef_building_corals
132906,Acropora irregularis,reef_building_corals
133617,Acropora jacquelineae,reef_building_corals
132882,Acropora japonica,reef_building_corals
133507,Acropora khayranensis,reef_building_corals
133233,Acropora kimbeensis,reef_building_corals
133081,Acropora kirstyae,reef_building_corals
133500,Acropora kosurini,reef_building_corals
133086,Acropora lamarcki,reef_building_corals
133120,Acropora latistella,reef_building_corals
132946,Acropora lianae,reef_building_corals
132969,Acropora listeri,reef_building_corals
133394,Acropora loisetteae,reef_building_corals
133294,Acropora lokani,reef_building_corals
132988,Acropora longicyathus,reef_building_corals
132976,Acropora loripes,reef_building_corals
133327,Acropora lovelli,reef_building_corals
133303,Acropora lutkeni,reef_building_corals
132950,Acropora macrostoma,reef_building_corals
132914,Acropora maryae,reef_building_corals
133677,Acropora massawensis,reef_building_corals
133189,Acropora meridiana,reef_building_corals
133359,Acropora microclados,reef_building_corals
133021,Acropora microphthalma,reef_building_corals
133666,Acropora millepora,reef_building_corals
133018,Acropora minuta,reef_building_corals
133483,Acropora mirabilis,reef_building_corals
133315,Acropora monticulosa,reef_building_corals
132990,Acropora multiacuta,reef_building_corals
